year,count
,1
1980,1
1986,1
1992,1
2011,1
2012,3
2013,4
2014,8
2015,18
2016,27
2017,41
2018,39
2019,286
2020,815
2021,868
2022,1200
2023,1234
2024,962
2025,2240
2026,4006
